Afghanistan:	Stray Dogs
St. Kitts and Nevis:	A Rose Between Thorns
St. Lucia:	21 Days
St. Pierre and Miquelon:	Making Love in St Pierre
St. Vincent and the Grenadines:	The Seagull
Sudan:	We Are the Ones
Suriname:	Bolletjes Blues
Svalbard & Jan Mayen Islands:	Project Iceman
Swaziland:	Liyana
Sweden:	HalloHallo
Switzerland:	Golden Years
Syrian Arab Republic:	Gulstan Land of Roses
Taiwan:	Godspeed
Tajikistan:	True Noon
Tanzania:	EONII
Thailand:	This Girl Is Bad Ass
Timor-Leste:	One Day on Earth
Togo:	Togo le foot et la politique ne font quun
Tonga:	When the Man Went South
Trinidad and Tobago:	The Whisper of the Leaves
Tunisia:	As I Open My Eyes
Turkey:	Beyond the Hill
Turkmenistan:	Little Angel Make Me Happy
Turks and Caicos Islands:	Chupacabra Terror
Tuvalu:	Islet
US Virgin Islands:	The Adventures of Fiyah Dog
Uganda:	The Girl in the Yellow Jumper
Ukraine:	The Saratov Approach
United Arab Emirates:	The Ones Below
United Kingdom:	The Curse of Robert the Doll
United States of America:	Spellbound
Uruguay:	A Monster with a Thousand Heads
Uzbekistan:	One Day on Earth
Vanuatu:	Let Us Persevere in What We Have Resolved Before We Forget
Venezuela:	Glue Sniffer
Vietnam:	Head Rush
Yemen:	One Day on Earth
Yugoslavia:	Miss
Zaire:	Life Is Rosy
Zambia:	Doin My Drugs
Zimbabwe:	House of Children
